iter	Passed	Remaining
557	3859	16889
558	3871	16906
559	3899	16989
560	3928	17079
561	3949	17131
562	3969	17181
563	3984	17209
564	3997	17229
565	4018	17281
566	4026	17277
567	4036	17284
568	4048	17297
569	4068	17342
570	4079	17353
571	4086	17347
572	4098	17359
573	4105	17353
574	4111	17338
575	4115	17321
576	4120	17302
577	4124	17283
578	4129	17265
579	4133	17245
580	4137	17228
581	4142	17210
582	4146	17191
583	4151	17174
584	4155	17155
585	4159	17136
586	4164	17118
587	4168	17100
588	4173	17081
589	4177	17063
590	4181	17045
591	4186	17026
592	4190	17009
593	4194	16990
594	4199	16973
595	4203	16954
596	4208	16937
597	4212	16919
598	4216	16900
599	4220	16882
600	4224	16864
601	4229	16847
602	4233	16829
603	4238	16811
604	4242	16793
605	4246	16776
606	4250	16758
607	4255	16741
608	4260	16725
609	4264	16708
610	4269	16692
611	4273	16674
612	4277	16657
613	4282	16641
614	4286	16623
615	4290	16605
616	4294	16587
617	4298	16568
618	4302	16550
619	4307	16534
620	4311	16517
621	4315	16500
622	4319	16481
623	4323	16464
624	4328	16446
625	4332	16428
626	4336	16411
627	4341	16396
628	4345	16381
629	4350	16364
630	4355	16351
631	4359	16333
632	4363	16316
633	4367	16300
634	4372	16283
635	4376	16266
636	4380	16248
637	4384	16233
638	4389	16216
639	4393	16200
640	4397	16183
641	4401	16166
642	4405	16148
643	4409	16132
644	4413	16115
645	4417	16098
646	4422	16083
647	4426	16066
648	4430	16049
649	4434	16033
650	4438	16016
651	4443	16000
652	4447	15984
653	4452	15970
654	4456	15955
655	4461	15940
656	4465	15923
657	4469	15907
658	4473	15891
659	4478	15876
660	4482	15860
661	4486	15844
662	4490	15828
663	4494	15813
664	4498	15796
665	4503	15781
666	4507	15765
667	4511	15749
668	4515	15733
669	4520	15721
670	4529	15720
671	4538	15721
672	4544	15714
673	4553	15714
674	4562	15714
675	4571	15714
676	4578	15709
677	4587	15710
678	4595	15708
679	4602	15702
680	4608	15691
681	4613	15680
682	4624	15686
683	4630	15678
684	4642	15688
685	4649	15682
686	4656	15677
687	4663	15671
688	4670	15665
689	4677	15659
690	4683	15650
691	4690	15644
692	4699	15643
693	4705	15636
694	4719	15654
695	4738	15685
696	4749	15692
697	4755	15684
698	4762	15676
699	4769	15671
700	4775	15663
701	4785	15664
702	4796	15671
703	4803	15666
704	4811	15663
705	4820	15662
706	4827	15657
707	4837	15658
708	4843	15650
709	4851	15647
710	4858	15641
711	4864	15633
712	4871	15624
713	4877	15616
714	4886	15616
715	4901	15634
716	4913	15645
717	4924	15650
718	4932	15647
719	4938	15639
720	4948	15643
721	4960	15649
722	4971	15655
723	4983	15666
724	4991	15662
725	5004	15676
726	5015	15680
727	5029	15696
728	5048	15727
729	5057	15726
730	5065	15723
731	5074	15721
732	5081	15716
733	5089	15711
734	5094	15700
735	5100	15689
736	5106	15678
737	5111	15667
738	5117	15657
739	5131	15672
740	5139	15668
741	5147	15664
742	5153	15655
743	5159	15644
744	5165	15633
745	5171	15624
746	5176	15613
747	5184	15609
748	5192	15604
749	5197	15591
750	5202	15578
751	5207	15566
752	5212	15554
753	5217	15540
754	5221	15527
755	5226	15513
756	5231	15500
757	5236	15488
758	5241	15476
759	5246	15462
760	5251	15450
761	5256	15437
762	5261	15424
763	5265	15410
764	5269	15395
765	5273	15380
766	5277	15365
767	5282	15350
768	5286	15336
769	5290	15321
770	5294	15306
771	5298	15292
772	5302	15276
773	5307	15262
774	5311	15247
775	5315	15233
776	5319	15218
777	5323	15204
778	5327	15189
779	5331	15174
780	5335	15160
781	5339	15145
782	5343	15130
783	5347	15116
784	5352	15102
785	5356	15088
786	5360	15074
787	5364	15059
788	5369	15045
789	5373	15031
790	5377	15016
791	5381	15002
792	5385	14988
793	5389	14973
794	5393	14959
795	5397	14944
796	5401	14930
797	5405	14916
798	5409	14902
799	5413	14887
800	5417	14873
801	5422	14860
802	5426	14846
803	5430	14832
804	5434	14819
805	5439	14805
806	5443	14792
807	5447	14777
808	5451	14764
809	5455	14750
810	5459	14735
811	5463	14722
812	5468	14709
813	5472	14695
814	5476	14681
815	5480	14667
816	5485	14658
817	5497	14663
818	5504	14658
819	5512	14655
820	5544	14714
821	5553	14713
822	5564	14719
823	5574	14719
824	5583	14719
825	5591	14717
826	5600	14714
827	5608	14713
828	5616	14707
829	5625	14706
830	5635	14708
831	5644	14707
832	5655	14711
833	5663	14710
834	5672	14706
835	5679	14702
836	5687	14697
837	5694	14690
838	5701	14684
839	5707	14676
840	5714	14669
841	5723	14668
842	5730	14662
843	5736	14654
844	5743	14648
845	5753	14648
846	5760	14642
847	5769	14641
848	5775	14632
849	5782	14625
850	5789	14618
851	5797	14616
852	5804	14608
853	5810	14600
854	5816	14593
855	5826	14594
856	5834	14589
857	5841	14583
858	5846	14573
859	5854	14568
860	5861	14562
861	5869	14558
862	5881	14565
863	5888	14557
864	5894	14548
865	5900	14539
866	5909	14539
867	5917	14534
868	5925	14531
869	5936	14535
870	5945	14532
871	5956	14535
872	5967	14539
873	5975	14535
874	5980	14525
875	5986	14514
876	5990	14502
877	5995	14490
878	6000	14477
879	6004	14465
880	6008	14452
881	6013	14440
882	6017	14427
883	6022	14415
884	6027	14403
885	6031	14391
886	6036	14379
887	6040	14367
888	6046	14357
889	6051	14346
890	6056	14335
891	6061	14325
892	6066	14314
893	6071	14302
894	6076	14291
895	6081	14280
896	6086	14270
897	6091	14258
898	6096	14247
899	6101	14236
900	6106	14225
901	6111	14215
902	6116	14204
903	6122	14195
904	6127	14184
905	6132	14174
906	6137	14163
907	6143	14153
908	6148	14142
909	6153	14132
910	6158	14122
911	6164	14113
912	6170	14104
913	6175	14094
914	6181	14084
915	6186	14075
916	6192	14066
917	6197	14056
918	6202	14045
919	6208	14037
920	6214	14027
921	6219	14017
922	6225	14008
923	6230	13998
924	6236	13989
925	6242	13980
926	6248	13972
927	6254	13963
928	6260	13955
929	6266	13948
930	6273	13942
931	6280	13936
932	6286	13928
933	6292	13919
934	6300	13914
935	6310	13915
936	6318	13912
937	6328	13911
938	6334	13904
939	6340	13895
940	6346	13887
941	6352	13877
942	6357	13867
943	6362	13856
944	6367	13846
945	6371	13834
946	6376	13823
947	6381	13812
948	6385	13800
949	6390	13790
950	6395	13780
951	6401	13770
952	6405	13758
953	6409	13747
954	6414	13734
955	6418	13722
956	6422	13710
957	6426	13698
958	6431	13687
959	6435	13675
960	6440	13665
961	6445	13654
962	6449	13642
963	6454	13631
964	6458	13619
965	6462	13607
966	6467	13596
967	6473	13589
968	6486	13595
969	6511	13627
970	6527	13640
971	6534	13634
972	6547	13640
973	6560	13645
974	6568	13641
975	6576	13639
976	6592	13650
977	6607	13661
978	6617	13661
979	6634	13675
980	6650	13687
981	6679	13726
982	6707	13762
983	6729	13787
984	6747	13802
985	6767	13823
986	6778	13824
987	6797	13843
988	6807	13842
989	6819	13846
990	6838	13862
991	6852	13870
992	6864	13874
993	6882	13890
994	6895	13895
995	6910	13904
996	6923	13908
997	6933	13908
998	6947	13915
999	6964	13929
1000	6983	13946
1001	6994	13946
1002	7007	13951
1003	7026	13968
1004	7038	13971
1005	7053	13981
1006	7073	13999
1007	7094	14020
1008	7108	14026
1009	7115	14020
1010	7126	14021
1011	7135	14016
1012	7143	14011
1013	7151	14005
1014	7162	14006
1015	7169	14000
1016	7176	13992
1017	7182	13984
1018	7189	13976
1019	7196	13969
1020	7202	13961
1021	7209	13953
1022	7216	13945
1023	7222	13936
1024	7228	13928
1025	7236	13923
1026	7242	13914
